location,crimes,arrests,arrest_rate
AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA,777,137,0.17631917631917632
APARTMENT,662002,115380,0.17428950365708865
CTA TRAIN,23102,3924,0.16985542377283352
VEHICLE-COMMERCIAL - TROLLEY BUS,6,1,0.16666666666666666
BOAT/WATERCRAFT,603,99,0.16417910447761194
FACTORY/MANUFACTURING BUILDING,5850,935,0.15982905982905982
AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA,76,12,0.15789473684210525
AIRPORT VENDING ESTABLISHMENT,865,136,0.15722543352601157
AIRPORT EXTERIOR - SECURE AREA,257,40,0.1556420233463035
CLEANING STORE,4065,626,0.15399753997539975
BANK,24560,3659,0.14898208469055374
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,3853,573,0.14871528678951465
NEWSSTAND,198,29,0.14646464646464646
DELIVERY TRUCK,825,118,0.14303030303030304
VEHICLE-COMMERCIAL,4976,705,0.14168006430868169
RESIDENCE,1017172,140847,0.13846920678115401
AIRPORT PARKING LOT,684,94,0.13742690058479531
CREDIT UNION,455,61,0.13406593406593406
AIRPORT BUILDING NON-TERMINAL - SECURE AREA,524,67,0.12786259541984732
BARBERSHOP,7161,904,0.12623935204580367
POOL ROOM,826,104,0.12590799031476999
CONSTRUCTION SITE,11844,1485,0.12537993920972645
ANIMAL HOSPITAL,764,93,0.12172774869109948
CHURCH/SYNAGOGUE/PLACE OF WORSHIP,13641,1658,0.12154534125064145
MEDICAL/DENTAL OFFICE,6351,731,0.11509998425444812
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,600,68,0.11333333333333333
FIRE STATION,906,96,0.10596026490066225
VEHICLE - OTHER RIDE SERVICE,332,34,0.10240963855421686
DRIVEWAY - RESIDENTIAL,18268,1844,0.10094153711407926
AIRCRAFT,605,58,0.09586776859504133
COMMERCIAL / BUSINESS OFFICE,42136,4026,0.09554775014239605
"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",230,21,0.09130434782608696
AUTO / BOAT / RV DEALERSHIP,248,21,0.0846774193548387
DAY CARE CENTER,2567,217,0.08453447604207245
NURSING HOME/RETIREMENT HOME,12131,944,0.07781716264116725
RESIDENCE-GARAGE,118850,6747,0.05676903660075726
ATHLETIC CLUB,7793,368,0.047221865776979344
VEHICLE - DELIVERY TRUCK,116,5,0.04310344827586207
ATM (AUTOMATIC TELLER MACHINE),7567,138,0.0182370820668693
TRUCKING TERMINAL,1,0,0.0
RIVER,4,0,0.0
EXPRESSWAY EMBANKMENT,1,0,0.0
CLEANERS/LAUNDROMAT,1,0,0.0
PRAIRIE,2,0,0.0
CHURCH,5,0,0.0
CHURCH PROPERTY,1,0,0.0
FARM,2,0,0.0
LAGOON,1,0,0.0
CHA ELEVATOR,2,0,0.0
LOADING DOCK,1,0,0.0
KENNEL,1,0,0.0
,0,0,
