location,crimes,arrests,arrest_rate
BANK,24484,3583,0.1463404672439144
AIRPORT EXTERIOR - SECURE AREA,253,37,0.14624505928853754
CLEANING STORE,4003,564,0.1408943292530602
AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,3806,536,0.14083026799789805
OTHER,216433,30387,0.14039910734499822
PARKING LOT/GARAGE(NON.RESID.),161030,22008,0.13667018567968703
DELIVERY TRUCK,818,111,0.1356968215158924
CREDIT UNION,455,61,0.13406593406593406
AIRPORT PARKING LOT,679,90,0.1325478645066274
STREET,1308533,173272,0.13241698910153585
CTA TRAIN,21879,2712,0.12395447689565336
CONSTRUCTION SITE,11812,1453,0.12301049779884862
RESIDENCE,992443,116404,0.11729036327527123
CHURCH/SYNAGOGUE/PLACE OF WORSHIP,13546,1565,0.11553226044588809
AIRPORT BUILDING NON-TERMINAL - SECURE AREA,516,59,0.11434108527131782
VEHICLE-COMMERCIAL,4815,544,0.11298026998961579
BARBERSHOP,7046,791,0.11226227646891854
ANIMAL HOSPITAL,749,79,0.1054739652870494
NEWSSTAND,187,19,0.10160427807486631
FIRE STATION,898,88,0.09799554565701558
VEHICLE - OTHER RIDE SERVICE,329,31,0.09422492401215805
MEDICAL/DENTAL OFFICE,6186,574,0.09279017135467184
COMMERCIAL / BUSINESS OFFICE,41940,3831,0.0913447782546495
AIRCRAFT,601,54,0.08985024958402663
DRIVEWAY - RESIDENTIAL,18015,1595,0.08853733000277547
AIRPORT TERMINAL LOWER LEVEL - SECURE AREA,579,48,0.08290155440414508
POOL ROOM,786,64,0.08142493638676845
AUTO / BOAT / RV DEALERSHIP,247,20,0.08097165991902834
DAY CARE CENTER,2556,206,0.08059467918622848
"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",225,16,0.07111111111111111
NURSING HOME/RETIREMENT HOME,11909,723,0.06071038710219162
RESIDENCE-GARAGE,118064,5973,0.05059120477029408
ATHLETIC CLUB,7777,352,0.04526166902404526
VEHICLE - DELIVERY TRUCK,116,5,0.04310344827586207
ATM (AUTOMATIC TELLER MACHINE),7562,133,0.017587939698492462
TRUCKING TERMINAL,1,0,0.0
RIVER,4,0,0.0
EXPRESSWAY EMBANKMENT,1,0,0.0
CLEANERS/LAUNDROMAT,1,0,0.0
LAGOON,1,0,0.0
PRAIRIE,2,0,0.0
CHURCH,5,0,0.0
CHURCH PROPERTY,1,0,0.0
LOADING DOCK,1,0,0.0
FARM,2,0,0.0
HORSE STABLE,2,0,0.0
CHA ELEVATOR,2,0,0.0
KENNEL,1,0,0.0
,0,0,
